ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,50cm,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,50cm,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,50cm,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,50cm,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,50cm,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,1m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,1m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,1m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,1m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,1m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,3m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,3m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,3m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,3m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,3m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,5m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,5m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,5m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,5m,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,female,above_50,5m,-29.82749895304583,1
