ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,50cm,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,50cm,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,50cm,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,50cm,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,50cm,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,1m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,1m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,1m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,1m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,1m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,3m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,3m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,3m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,3m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,3m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,5m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,5m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,5m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,5m,-30.119980783220477,1
b1982009-a9c4-418c-b55f-b91cb851b3d7,male,18_30,5m,-30.119980783220477,1
