ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,50cm,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,50cm,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,50cm,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,50cm,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,50cm,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,1m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,1m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,1m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,1m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,1m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,3m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,3m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,3m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,3m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,3m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,5m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,5m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,5m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,5m,-60.48176482250891,0
59eca5b3-7211-4c93-87d5-d083f170d760,male,31_50,5m,-60.48176482250891,0
