ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,50cm,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,50cm,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,50cm,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,50cm,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,50cm,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,1m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,1m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,1m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,1m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,1m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,3m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,3m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,3m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,3m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,3m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,5m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,5m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,5m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,5m,-58.713326766858145,0
8ad46297-bd8b-4a89-a8b0-14b2ccdaec92,female,31_50,5m,-58.713326766858145,0
