ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,50cm,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,50cm,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,50cm,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,50cm,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,50cm,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,1m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,1m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,1m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,1m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,1m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,3m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,3m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,3m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,3m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,3m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,5m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,5m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,5m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,5m,-38.55477939881613,0
9b1d82f2-039d-428a-94c8-a8bc82d9015a,male,18_30,5m,-38.55477939881613,0
