ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,0.5,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,0.5,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,0.5,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,0.5,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,0.5,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,1.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,1.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,1.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,1.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,1.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,3.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,3.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,3.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,3.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,3.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,5.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,5.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,5.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,5.0,-35.97224423320387,1
a5c51501-421d-49e9-9514-29aaa09f9fd1,mężczyzna,50+,5.0,-35.97224423320387,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,0.5,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,0.5,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,0.5,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,0.5,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,0.5,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,1.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,1.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,1.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,1.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,1.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,3.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,3.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,3.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,3.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,3.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,5.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,5.0,-29.82749895304583,1
907da96d-0d2b-41cf-9f06-5490bb7c207c,kobieta,50+,5.0,-29.82749895304583,1
